epoch,train_loss,val_roc_auc,val_balanced_accuracy,val_accuracy,val_precision,val_recall,val_sensitivity,val_specificity,val_f1,val_tn,val_fp,val_fn,val_tp,val_loss,learning_rate,epoch_seconds
1,0.11077497103801852,0.34080237811015146,0.34831121410013344,0.24503968253968253,0.34615384615384615,0.08936170212765958,0.08936170212765958,0.6072607260726073,0.14205186020293123,184,119,642,63,0.2478790504355279,0.0001,5.516329050064087
2,0.10837533299960521,0.36092034735388434,0.34984200547714345,0.2787698412698413,0.4583333333333333,0.17163120567375886,0.17163120567375886,0.528052805280528,0.24974200206398348,160,143,584,121,0.26852919894551475,0.0001,4.243713855743408
3,0.10624746805951438,0.4067949348126302,0.37439786531844677,0.23809523809523808,0.21100917431192662,0.032624113475177303,0.032624113475177303,0.7161716171617162,0.056511056511056514,217,86,682,23,0.2406636586501485,0.0001,4.2492289543151855
4,0.10026103499336608,0.504781967558458,0.4463450600379187,0.3611111111111111,0.6142322097378277,0.2326241134751773,0.2326241134751773,0.6600660066006601,0.3374485596707819,200,103,541,164,0.24845075678257716,0.0001,3.816390037536621
5,0.09805573824624696,0.4893148889357021,0.5052173302436627,0.5119047619047619,0.7036328871892925,0.5219858156028369,0.5219858156028369,0.4884488448844885,0.5993485342019544,148,155,337,368,0.27558270191389417,0.0001,4.035325288772583
6,0.09138644966203398,0.6624160288369263,0.5389579383470262,0.40773809523809523,0.7872340425531915,0.2099290780141844,0.2099290780141844,0.8679867986798679,0.3314669652855543,263,40,557,148,0.17525480533876117,0.0001,4.013035297393799
7,0.08844092187124117,0.6395665098424737,0.5416473562249842,0.4365079365079365,0.7686274509803922,0.27801418439716313,0.27801418439716313,0.8052805280528053,0.4083333333333333,244,59,509,196,0.19352980904162875,0.0001,4.087417125701904
8,0.08254221772116917,0.6547480279942888,0.6032090443086862,0.6160714285714286,0.7750865051903114,0.6354609929078014,0.6354609929078014,0.570957095709571,0.6983632112236945,173,130,257,448,0.26075992538105874,0.0001,4.147390127182007
9,0.07920857130599124,0.6330150036280224,0.5953374060810337,0.5853174603174603,0.7775628626692457,0.5702127659574469,0.5702127659574469,0.6204620462046204,0.6579378068739771,188,115,303,402,0.2575876171153689,5e-05,4.2060911655426025
10,0.06793809419102512,0.7060646490180933,0.6766940523839617,0.7083333333333334,0.8137404580152672,0.7560283687943262,0.7560283687943262,0.5973597359735974,0.7838235294117647,181,122,172,533,0.28275316060772016,5e-05,4.288713216781616
11,0.06779651297152514,0.7114762540083794,0.6634997542307421,0.6359126984126984,0.838,0.5943262411347517,0.5943262411347517,0.7326732673267327,0.6954356846473029,222,81,286,419,0.23553165184363486,5e-05,4.0669543743133545
12,0.06553660084476656,0.7298832010860661,0.6830770311073661,0.7172619047619048,0.8162650602409639,0.7687943262411348,0.7687943262411348,0.5973597359735974,0.7918188458729,181,122,163,542,0.31405621125466293,5e-05,3.8526337146759033
13,0.05934541804284407,0.7079980338459377,0.6592163471666316,0.6220238095238095,0.8417721518987342,0.5659574468085107,0.5659574468085107,0.7524752475247525,0.6768447837150128,228,75,306,399,0.2788691216163219,5e-05,3.9127230644226074
14,0.057047726993501705,0.7358752896566252,0.6833859981742855,0.6716269841269841,0.8412408759124088,0.6539007092198581,0.6539007092198581,0.7128712871287128,0.7358339984038308,216,87,244,461,0.2917354740202427,5e-05,4.26511812210083
15,0.05674541933476561,0.7025325936849004,0.6474755986236922,0.6279761904761905,0.8210116731517509,0.5985815602836879,0.5985815602836879,0.6963696369636964,0.6923707957342083,211,92,283,422,0.31392035491409753,5e-05,4.1338701248168945
16,0.056649905762933654,0.7022540551927533,0.6559721929639772,0.6359126984126984,0.8275193798449613,0.6056737588652482,0.6056737588652482,0.7062706270627063,0.6994266994266994,214,89,278,427,0.3123523550374167,5e-05,4.299367904663086
17,0.05527738196793819,0.6916227792992066,0.649083631767432,0.6170634920634921,0.8302277432712215,0.5687943262411348,0.5687943262411348,0.7293729372937293,0.6750841750841751,221,82,304,401,0.3343947193925343,2.5e-05,4.068749666213989
18,0.04593835468732025,0.7024061980666152,0.6626009409451583,0.6478174603174603,0.8289473684210527,0.625531914893617,0.625531914893617,0.6996699669966997,0.7130153597413096,212,91,264,441,0.3867671986420949,2.5e-05,3.985335111618042
19,0.04475727561104589,0.7202935187135735,0.6959202303209044,0.6904761904761905,0.8453427065026362,0.6822695035460993,0.6822695035460993,0.7095709570957096,0.7551020408163265,215,88,224,481,0.39268869072908447,2.5e-05,3.90181040763855
20,0.044733125603926394,0.7145284741240081,0.667256512885331,0.7003968253968254,0.8076335877862595,0.750354609929078,0.750354609929078,0.5841584158415841,0.7779411764705882,177,126,176,529,0.5037159002903435,1.25e-05,4.186404228210449
